date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,-3.2,-8,2.5,,,,8.9,,,
2015-01-02,-1.5,-7,5,,,,9.6,,,
2015-01-03,-3.1,-8,3.6,,,,4.1,,,
2015-01-04,2.2,-7,8.6,,,,6.8,,,
2015-01-05,1.7,-1,11,,,,15.3,,,
2015-01-06,-1.1,-6,5,,,,12,,,
2015-01-07,-2.6,-8,3.3,,,,5.9,,,
2015-01-08,-2.5,-11,5,,,,5.9,,,
2015-01-09,-0.9,-7,7.5,,,,12.2,,,
2015-01-10,4.8,,,,,,,,,
2015-01-11,0.6,-3,6.5,,,,9,,,
2015-01-12,-2.3,-6,4.2,,,,6.2,,,
2015-01-13,-2.6,-7,3.1,,,,4.4,,,
2015-01-14,-3.1,-6,1,,,24,6.5,,,
2015-01-15,-3.5,-8,0,0,,,5.6,,,
2015-01-16,-1.4,-7,4,,,,18.9,,,
2015-01-17,-1.9,-6.8,3,,,,8.1,,,
2015-01-18,0.4,-3,7,,,,15.2,,,
2015-01-19,-0.9,-9,6.7,,,,6.2,,,
2015-01-20,-0.8,-9,4,,,,6.5,,,
2015-01-21,-0.4,-5,7,,,,12,,,
2015-01-22,-2.6,-10,5.8,,,,5.3,,,
2015-01-23,0.3,-9,6.8,,,,4.5,,,
2015-01-24,0.7,-2.8,4,0.5,,,6.3,,,
2015-01-25,-0.7,-2.4,5,,,,5.3,,,
2015-01-26,-2.2,-7,5.2,,,,15.5,,,
2015-01-27,-4.3,-11,1.3,,,,12,,,
2015-01-28,-1.8,-5.6,1.1,,,,8.7,,,
2015-01-29,-1.3,-3.9,4.1,0,,,16.5,,,
2015-01-30,-3.1,-9,3.2,,,,11,,,
2015-01-31,-3.1,-8,4,,,,8.9,,,
2015-02-01,-3,-9,3,,,,6.2,,,
2015-02-02,-0.8,-9,4.2,,,,7.1,,,
2015-02-03,2.3,-5,8.6,0,,,13.1,,,
2015-02-04,1.3,-2,6,,,338,22.1,,,
2015-02-05,2.4,-6,9,,,,13.5,,,
2015-02-06,3.6,-5,11,,,,7.2,,,
2015-02-07,-2.1,-4,5.3,,,354,18.2,,,
2015-02-08,-4.3,-12,1.8,,,,10.2,,,
2015-02-09,-1.6,-9.2,6.1,,,,7.1,,,
2015-02-10,3.4,-6.6,13.3,,,,8,,,
2015-02-11,2.8,-3,10.2,,,,9.5,,,
2015-02-12,0.6,-4,7.9,,,,7.4,,,
2015-02-13,0.7,-8,9.6,,,,5,,,
2015-02-14,2.8,-5,11,,,,5.3,,,
2015-02-15,2.7,-4,8,,,,7.1,,,
2015-02-16,6.1,-5,12,,,,13.2,,,
2015-02-17,4.5,1,11,,,,10.7,,,
2015-02-18,4.2,-2,11,,,,10.5,,,
2015-02-19,1.8,-3,,2.8,,,,,,
2015-02-20,0.2,-0.2,2,6.4,,,5.6,,,
2015-02-21,-0.2,-1.4,4,5.1,,,14.6,,,
2015-02-22,-0.8,-4,4.2,0,,304,25.1,,,
2015-02-23,0.3,-6.1,6,,,,9,,,
2015-02-24,2.1,-4.2,6.7,,,,6.5,,,
2015-02-25,1.4,-2,7,,,,16.2,,,
2015-02-26,1.4,-6,6.2,,,350,12.9,,,
2015-02-27,-0.3,-3,2.4,0.3,,,9.2,,,
2015-02-28,-1.3,-3,4.8,1.5,,,9.2,,,
2015-03-01,5.1,-6,12.4,1,,,11.6,,,
2015-03-02,7.7,-3,15,0,,,13.8,,,
2015-03-03,0.4,-1,5.8,,,332,29.9,,,
2015-03-04,0.7,-7.3,6,,,,9.6,,,
2015-03-05,2.2,-7,8.3,,,,10.2,,,
